name,region
Ang Mo Kio,North
Bedok,East
Bishan,Central
Boon Lay,West
Bukit Batok,West
Bukit Merah,Central
Bukit Panjang,West
Bukit Timah,Central
Central Water Catchment,North
Changi,East
Choa Chu Kang,West
City,Central
Clementi,West
Geylang,Central
Hougang,East
Jalan Bahar,West
Jurong East,West
Jurong Island,West
Jurong West,West
Kallang,Central
Lim Chu Kang,West
Mandai,North
Marine Parade,Central
Novena,Central
Pasir Ris,East
Paya Lebar,East
Pioneer,West
Pulau Tekong,East
Pulau Ubin,East
Punggol,East
Queenstown,Central
Seletar,North
Sembawang,North
Sengkang,East
Sentosa,Central
Serangoon,Central
Southern Islands,Central
Sungei Kadut,North
Tampines,East
Tanglin,Central
Tengah,West
Toa Payoh,Central
Tuas,West
Western Islands,Central
Western Water Catchment,West
Woodlands,North
Yishun,North
