station_id,name,latitude,longitude,region
S219,Yio Chu Kang Road,1.37999,103.87643,East
S216,Ang Mo Kio Avenue 10,1.36019,103.85335,Central
S217,Bishan Street 13,1.35041,103.85526,Central
S214,Tanjong Rhu,1.29911,103.88289,Central
S215,Geylang East Central,1.32785,103.88899,Central
S213,Coronation Walk,1.32427,103.8097,Central
S81,Punggol Central,1.4029,103.9092,East
S40,Mandai Lake Road,1.4044,103.78962,North
S84,Simei Avenue,1.3437,103.9444,East
S44,Nanyang Avenue,1.34583,103.68166,West
S88,Toa Payoh North,1.3427,103.8482,Central
S43,Kim Chuan Road,1.3399,103.8878,East
S221,Hougang Avenue 1,1.35691,103.89088,East
S222,Henderson Road,1.28987,103.82364,Central
S08,Upper Thomson Road,1.3701,103.8271,North
S07,Lornie Road,1.3415,103.8334,Central
S220,Compassvale Lane,1.38666,103.89797,East
S208,Changi East Close,1.3136,104.00317,East
S203,Pasir Panjang,1.29164,103.7702,Central
S201,Clementi Park,1.32311,103.76714,West
S90,Bukit Timah Road,1.3191,103.8191,Central
S92,South Buona Vista Road,1.2841,103.7886,Central
S209,Yishun Ring Road,1.42111,103.84472,North
S50,Clementi Road,1.3337,103.7768,Central
S94,Pasir Ris Street 51,1.3662,103.9528,East
S210,Woodlands Centre,1.44003,103.76904,North
S211,Kranji Road,1.42918,103.75711,North
S119,Nicoll Highway,1.30105,103.8666,Central
S117,Banyan Road,1.256,103.679,West
S115,Tuas South Avenue 3,1.29377,103.61843,West
S113,Marine Parade Road,1.30648,103.9104,Central
S60,Sentosa,1.25,103.8279,Central
S64,Bukit Panjang Road,1.3824,103.7603,West
S66,Kranji Way,1.4387,103.7363,North
S24,Upper Changi Road North,1.3678,103.9826,East
S69,Upper Peirce Reservoir Park,1.37,103.805,North
S123,Towner Road,1.3214,103.8577,Central
S29,Pasir Ris Drive 12,1.387,103.935,East
S121,Old Choa Chu Kang Road,1.37288,103.72244,West
S229,Jurong West Street 42,1.35167,103.72195,West
S900,Seletar Aerospace View,1.41284,103.86922,North
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,North
S106,Pulau Ubin,1.4168,103.9673,East
S227,Woodlands Drive 62,1.43944,103.80389,North
S107,East Coast Parkway,1.3135,103.9625,East
S228,Jurong West Street 73,1.34703,103.70073,West
S104,Woodlands Avenue 9,1.44387,103.78538,North
S226,Malan Road,1.27472,103.80389,Central
S102,Semakau Landfill,1.189,103.768,Central
S223,Margaret Drive,1.29984,103.80264,Central
S224,Airport Boulevard,1.34392,103.98409,East
S71,Kent Ridge Road,1.2923,103.7815,Central
S33,Jurong Pier Road,1.3081,103.71,West
S77,Alexandra Road,1.2937,103.8125,Central
S79,Somerset Road,1.3004,103.8372,Central
S78,Poole Road,1.30703,103.89067,Central
S111,Scotts Road,1.31055,103.8365,Central
S112,Lim Chu Kang Road,1.43854,103.70131,West
S230,West Coast Road,1.30167,103.76444,West
S108,Marina Gardens Drive,1.2799,103.8703,Central
